NAME,TIME,ENTRY TIME,STATUS
Putin,14:56:30,14:56:09,Entry
Putin,14:56:30,14:56:09,Entry
Putin,14:56:30,14:56:09,Entry
Putin,14:56:30,14:56:09,Entry
Putin,14:56:31,14:56:09,Entry
Putin,14:56:31,14:56:09,Entry
Putin,14:56:32,14:56:09,Entry
Priya,14:56:32,14:55:35,Entry
Putin,14:56:32,14:56:09,Entry
Priya,14:56:32,14:55:35,Entry
Priya,14:56:33,14:55:35,Entry
Priya,14:56:33,14:55:35,Entry
Priya,14:56:33,14:55:35,Entry
Priya,14:56:33,14:55:35,Entry
Priya,14:56:34,14:55:35,Entry
Priya,14:56:34,14:55:35,Entry
Priya,14:56:34,14:55:35,Entry
Priya,14:56:34,14:55:35,Entry
Priya,14:56:35,14:55:35,Entry
Priya,14:56:35,14:55:35,Entry
Priya,14:56:35,14:55:35,Entry
Priya,14:56:35,14:55:35,Entry
Priya,14:56:36,14:55:35,Entry
Priya,14:56:36,14:55:35,Entry
Priya,14:56:37,14:55:35,Entry
Priya,14:56:37,14:55:35,Entry
Priya,14:56:38,14:55:35,Entry
Priya,14:56:38,14:55:35,Entry
Priya,14:56:39,14:55:35,Entry
Priya,14:56:39,14:55:35,Entry
Priya,14:56:39,14:55:35,Entry
Priya,14:56:40,14:55:35,Entry
Priya,14:56:40,14:55:35,Entry
Priya,14:56:40,14:55:35,Entry
Priya,14:56:41,14:55:35,Entry
Priya,14:56:41,14:55:35,Entry
Priya,14:56:42,14:55:35,Entry
Priya,14:56:42,14:55:35,Entry
Priya,14:56:43,14:55:35,Entry
Priya,14:56:43,14:55:35,Entry
Priya,14:56:43,14:55:35,Entry
Priya,14:56:44,14:55:35,Entry
Priya,14:56:44,14:55:35,Entry
Priya,14:56:45,14:55:35,Exit
Putin,14:56:45,14:56:09,Exit
